day,avg_price,menu_item_count,baker_count,cashier_count,manager_count,baker_tier_max,avg_emp_pay,ad_slots_won,oven_tier,register_tier,fridge_tier,espresso_tier,competitor_count,store_design,revenue
1,3.71,7,1,1,0,3,17.05,5,3,1,3,2,5,modern,7742.6
2,8.27,11,3,1,1,3,20.56,6,1,1,3,2,14,modern,8445.72
3,4.82,8,0,0,1,1,22.18,2,3,2,1,3,18,industrial,3522.64
4,4.17,7,4,2,2,1,29.09,0,3,1,2,1,11,classic,5199.4
5,6.73,10,2,1,1,2,19.19,2,3,3,3,1,23,modern,5175.46
6,4.89,9,2,4,0,3,21.49,6,1,1,1,2,16,cozy,7169.87
7,4.06,12,2,1,2,2,22.91,5,2,1,2,1,11,industrial,7387.63
8,11.13,9,2,1,0,3,24.87,6,1,1,1,3,9,classic,7780.48
9,8.57,9,3,4,1,3,20.03,4,1,3,3,1,25,classic,7126.7
10,4.45,9,1,3,0,3,32.52,2,3,1,3,1,24,industrial,4530.31
11,10.65,11,4,1,0,2,30.25,4,3,1,3,2,19,industrial,8223.9
12,5.54,6,4,0,0,3,24.72,0,3,1,1,3,19,industrial,5188.69
13,5.75,12,3,1,2,3,28.8,5,2,2,3,3,15,cozy,8444.55
14,5.61,4,2,0,2,3,19.6,1,1,1,3,3,5,modern,6347.38
15,4.07,3,2,0,2,1,20.57,3,1,3,1,3,22,cozy,4141.19
16,10.36,6,0,0,2,2,22.09,3,2,3,1,3,24,classic,4810.03
17,4.02,8,0,1,0,1,25.73,1,2,1,2,2,11,modern,4220.68
18,3.93,11,0,0,0,1,23.13,3,1,2,1,1,16,modern,4047.38
19,11.88,7,3,2,1,3,34.15,6,3,3,3,2,8,modern,9731.7
20,8.42,11,0,2,0,1,26.68,4,3,1,1,3,6,modern,7371.7
1,4.08,4,1,3,0,3,19.92,4,1,3,1,2,25,cozy,4479.42
2,5.24,8,1,2,1,1,28.43,2,2,2,1,1,18,industrial,4152.92
3,4.12,6,4,2,0,2,32.62,1,2,2,1,2,30,modern,3672.7
4,9.18,11,2,0,0,2,17.31,0,3,3,1,2,13,modern,5576.77
5,9.6,6,2,4,1,2,33.11,6,1,1,3,2,30,cozy,6190.68
